OTUID,poblacion,temporada,seccion,sexo,corrida,profundidad ,Sexo_poblacion,Sexo_temporada,comparacion
41MVAI,4150 msnm,No Reproductiva,Ileon,Macho,corrida2,7849,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
41MVAR,4150 msnm,No Reproductiva,Recto,Macho,corrida2,11982,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
41MVAS,4150 msnm,No Reproductiva,Estomago,Macho,corrida2,11332,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
41MVBI,4150 msnm,No Reproductiva,Ileon,Macho,corrida2,10380,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
41MVBR,4150 msnm,No Reproductiva,Recto,Macho,corrida2,8069,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
41MVBS,4150 msnm,No Reproductiva,Estomago,Macho,corrida2,5882,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
41MVCI,4150 msnm,No Reproductiva,Ileon,Macho,corrida2,1133,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
41MVCR,4150 msnm,No Reproductiva,Recto,Macho,corrida2,18177,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
41MVCS,4150 msnm,No Reproductiva,Estomago,Macho,corrida2,6428,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
41MVDI,4150 msnm,No Reproductiva,Ileon,Macho,corrida2,6382,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
41MVDR,4150 msnm,No Reproductiva,Recto,Macho,corrida2,2698,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
41MVDS,4150 msnm,No Reproductiva,Estomago,Macho,corrida2,7695,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
41MVEI,4150 msnm,No Reproductiva,Ileon,Macho,corrida2,24294,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
41MVER,4150 msnm,No Reproductiva,Recto,Macho,corrida2,36369,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
41MVES,4150 msnm,No Reproductiva,Estomago,Macho,corrida2,16075,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
M1S,4150 msnm,No Reproductiva,Estomago,Macho,corrida3,11114,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
M1I,4150 msnm,No Reproductiva,Ileon,Macho,corrida3,1970,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
M1R,4150 msnm,No Reproductiva,Recto,Macho,corrida3,17351,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
M3S,4150 msnm,No Reproductiva,Estomago,Macho,corrida3,10755,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
M3I,4150 msnm,No Reproductiva,Ileon,Macho,corrida3,15222,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
M3R,4150 msnm,No Reproductiva,Recto,Macho,corrida3,19338,Macho 4150 msnm,Macho No Reproductivo,Macho4150NoRep
